gene	baseMean	log2FoldChange	padj	Comparison
CYP7B1	396.973809334678	-1.79634860220493	0.0732538762847444	Short Survivor Screening vs. Short Survivor PC2
DPY19L2	303.715110666094	-1.70859753963433	0.00377945233311041	Short Survivor Screening vs. Short Survivor PC2
RNA5-8SN3	4853.19736873219	1.35777982934497	0.099016596191922	Short Survivor Screening vs. Short Survivor PC2
AC131212.3	95.5965447513424	1.60572863039612	0.00253336699310703	Short Survivor Screening vs. Short Survivor PC2
AC079594.1	69.5122022720004	7.29390185985324	0.00194645702788524	Short Survivor Screening vs. Short Survivor PC2
AC048338.1	16.0214417576331	7.71659922124272	0.000281313011277123	Short Survivor Screening vs. Short Survivor PC2
AC013477.1	19.8894999322668	8.01934552885638	0.00530086926003846	Short Survivor Screening vs. Short Survivor PC2
MRPL12	16.0620416894072	20.0745679053191	0.000818256564800089	Short Survivor Screening vs. Short Survivor PC2
PKDCC	19.7253143554123	21.3780006550982	0.000196746661883053	Short Survivor Screening vs. Short Survivor PC2
IGKV1D-8	17.5756023047547	-21.5964090823547	6.29523978220971e-05	Short Survivor Screening vs. Short Survivor PC4
AC067968.1	23.2318966801958	-7.87920150467719	8.61602540166764e-05	Short Survivor Screening vs. Short Survivor PC4
AC011462.1	32.9150931929229	-6.54512067471681	0.000366753188109502	Short Survivor Screening vs. Short Survivor PC4
AC242842.3	160.300093127071	-4.63206873575126	3.56134784834133e-10	Short Survivor Screening vs. Short Survivor PC4
NBPF19	192.340609348707	11.1408824993903	9.77232281540338e-12	Short Survivor Screening vs. Short Survivor PC4
LAMA2	22.6912515048131	-23.9650767646159	1.72994596124207e-11	Long Survivor Screening vs. Long Survivor PC2
TNFSF12-TNFSF13	12.586087200768	-23.1657919499792	7.83059749389004e-11	Long Survivor Screening vs. Long Survivor PC2
SCARNA4	18.3392088326106	-4.3858149843298	0.00958918730009762	Long Survivor Screening vs. Long Survivor PC2
IFI27	71.8133465357593	-3.35056809264567	0.0379564353547478	Long Survivor Screening vs. Long Survivor PC2
FERMT2	44.0935127811349	-3.20274049777625	0.070362657773388	Long Survivor Screening vs. Long Survivor PC2
TEAD1	63.8726756234984	-3.11441954146688	0.070362657773388	Long Survivor Screening vs. Long Survivor PC2
RGL1	168.154519310394	-2.82670025816554	0.070362657773388	Long Survivor Screening vs. Long Survivor PC2
DLSTP1	11.9184324193614	-2.63690225697298	0.0852136430015686	Long Survivor Screening vs. Long Survivor PC2
PDK4	380.31998125614	-2.37724835464702	0.0852136430015686	Long Survivor Screening vs. Long Survivor PC2
GIMAP4	188.396231928017	-2.23032834384063	0.070362657773388	Long Survivor Screening vs. Long Survivor PC2
NMU	6.66767438049661	21.1709304474098	9.00312208406499e-09	Long Survivor Screening vs. Long Survivor PC2
PLA2G7	53.5318987723682	-23.9659948409786	3.34354037341323e-11	Long Survivor Screening vs. Long Survivor PC4
IGLC1	797.093573278639	-6.8224206564379	0.00276028501296453	Long Survivor Screening vs. Long Survivor PC4
TLCD4-RWDD3	16.158578655766	-5.10385727489999	0.00608031014018414	Long Survivor Screening vs. Long Survivor PC4
AC027796.4	3.79121164410632	5.39640966196588	0.0733771531818224	Long Survivor Screening vs. Long Survivor PC4
BLOC1S5-TXNDC5	98.5108383325669	24.0052600622538	3.34354037341323e-11	Long Survivor Screening vs. Long Survivor PC4
IGLV1-41	10.3784893028004	-40.6517132704754	1.60493778098074e-09	Short Survivor PC2 vs. Long Survivor PC2
IGLV2-28	15.069794483152	-36.7112741326951	1.70953946981918e-06	Short Survivor PC2 vs. Long Survivor PC2
PEDS1-UBE2V1	77.7551377729436	-35.1157744485418	1.49753498799811e-07	Short Survivor PC2 vs. Long Survivor PC2
HBA1	5772.18493228379	-29.4394260506541	3.14875483838076e-20	Short Survivor PC2 vs. Long Survivor PC2
HBA2	6046.79583949984	-29.4103049298315	1.00377371676867e-20	Short Survivor PC2 vs. Long Survivor PC2
TNFSF12-TNFSF13	5.83799559390937	-26.2737586100507	0.0219501978575732	Short Survivor PC2 vs. Long Survivor PC2
TTTY14	266.398469930482	-24.8216338693294	6.52611991889211e-18	Short Survivor PC2 vs. Long Survivor PC2
HLA-DQB1	472.056971459874	-24.0479570329897	1.31535149619741e-16	Short Survivor PC2 vs. Long Survivor PC2
LAMA2	134.754493872329	-24.0268967347022	0.0236194724353231	Short Survivor PC2 vs. Long Survivor PC2
PRTG	108.570474634657	-23.484609814637	1.31535149619741e-16	Short Survivor PC2 vs. Long Survivor PC2
TVP23A	40.6996922341432	-23.1020652668941	3.21496227751403e-22	Short Survivor PC2 vs. Long Survivor PC2
